elapsed_s,state,rss_mb,swap_mb,cpu_percent,threads,temperature_c,heartbeat_age_s,overflows,captured_s,processed_s,backlog_s,processing_calls,parse_last_ms,parse_max_ms,process_last_ms,process_max_ms,returned_lines,returned_audio_s,completed_lines,last_line_duration_s,last_decode_ms,callback_gap_max_ms,actual_rate,actual_latency_s
32.06,running,485.515625,0.0,293.86698789368705,25,68.3,0.9317231178283691,0,31.616000000000025,31.296000000000017,0.3200000000000074,151,0.07303700112970546,0.07864899998821784,0.2709640011744341,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
33.06,running,550.96875,0.0,335.77415091909035,25,68.85,1.9323549270629883,0,31.616000000000025,31.296000000000017,0.3200000000000074,151,0.07303700112970546,0.07864899998821784,0.2709640011744341,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
34.06,running,485.515625,0.0,333.76031303500145,25,69.4,0.9325296878814697,0,33.60000000000002,33.152000000000015,0.4480000000000075,159,0.07257499964907765,0.07905600068625063,3.1438470014109043,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
35.06,running,485.515625,0.0,348.7933626039733,25,68.85,1.9330856800079346,0,33.60000000000002,33.152000000000015,0.4480000000000075,159,0.07257499964907765,0.07905600068625063,3.1438470014109043,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
36.06,running,485.59375,0.0,348.7952997124393,25,68.85,0.9331226348876953,0,35.584000000000024,35.52000000000002,0.06400000000000716,165,0.07650000043213367,0.07905600068625063,4.45027800014941,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
37.06,running,485.59375,0.0,331.8000758551677,25,68.85,1.933774709701538,0,35.584000000000024,35.52000000000002,0.06400000000000716,165,0.07650000043213367,0.07905600068625063,4.45027800014941,1651.8416090002574,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
38.06,running,485.671875,0.0,366.7632246300702,25,69.4,0.9381530284881592,0,37.568000000000026,37.31200000000002,0.25600000000000733,167,0.07798200022079982,0.07905600068625063,7.038530000500032,1748.973425999793,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
39.07,running,521.90625,0.0,354.6795531079698,25,69.4,1.949267864227295,0,37.568000000000026,37.31200000000002,0.25600000000000733,167,0.07798200022079982,0.07905600068625063,7.038530000500032,1748.973425999793,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
40.08,running,485.90625,0.0,331.29159517062,25,69.4,0.9534637928009033,0,39.61600000000003,38.72000000000002,0.8960000000000079,169,0.08029700074985158,0.08029700074985158,5.433875001472188,1748.973425999793,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
41.08,running,487.0,0.0,347.5961495269213,25,69.4,1.9572925567626953,0,39.61600000000003,38.72000000000002,0.8960000000000079,169,0.08029700074985158,0.08029700074985158,5.433875001472188,1748.973425999793,6,0.0,5,7.104000091552734,477,71.32916199952888,16000.0,0.064
42.08,running,487.0,0.0,313.81742761115316,25,69.4,0.957298755645752,0,41.60000000000003,41.40800000000002,0.19200000000000728,173,0.08392700146941934,0.08392700146941934,4.1378139994776575,1748.973425999793,7,0.0,6,10.047998428344727,461,71.32916199952888,16000.0,0.064
43.09,running,538.953125,0.0,340.8077210548494,25,68.3,1.9584450721740723,0,41.60000000000003,41.40800000000002,0.19200000000000728,173,0.08392700146941934,0.08392700146941934,4.1378139994776575,1748.973425999793,7,0.0,6,10.047998428344727,461,71.32916199952888,16000.0,0.064
44.09,running,487.078125,0.0,306.6223314343592,25,68.85,0.9550979137420654,0,43.58400000000003,43.136000000000024,0.4480000000000075,181,0.08890800017979927,0.08999999954539817,2.1199720013100887,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
45.09,running,487.0,0.0,340.67851939669146,25,72.15,1.9564130306243896,0,43.58400000000003,43.136000000000024,0.4480000000000075,181,0.08890800017979927,0.08999999954539817,2.1199720013100887,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
46.09,running,487.0,0.0,350.3674254914074,25,69.95,0.9599084854125977,0,45.56800000000003,45.376000000000026,0.19200000000000728,190,0.0860010004544165,0.08999999954539817,2.1205089997238247,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
47.09,running,551.078125,0.0,351.7700932683954,25,69.95,1.9609172344207764,0,45.56800000000003,45.376000000000026,0.19200000000000728,190,0.0860010004544165,0.08999999954539817,2.1205089997238247,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
48.09,running,487.078125,0.0,337.6426936711204,25,69.4,0.961327075958252,0,47.616000000000035,46.40000000000003,1.2160000000000082,194,0.08583400085626636,0.08999999954539817,1.82878499981598,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
49.1,running,487.0,0.0,353.78381293410445,25,70.5,1.967461109161377,0,47.616000000000035,46.40000000000003,1.2160000000000082,194,0.08583400085626636,0.08999999954539817,1.82878499981598,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
50.1,running,516.46875,0.0,354.7325274173712,25,69.95,0.9681034088134766,0,49.60000000000004,47.87200000000003,1.7280000000000086,196,0.0884080000105314,0.08999999954539817,5.789729000753141,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
51.1,running,551.25,0.0,353.5691777250723,25,69.95,1.9691548347473145,0,49.60000000000004,47.87200000000003,1.7280000000000086,196,0.0884080000105314,0.08999999954539817,5.789729000753141,1748.973425999793,8,0.0,7,2.2080001831054688,337,73.97731899982318,16000.0,0.064
52.1,running,487.171875,0.0,360.6409246175719,25,71.05,0.9692888259887695,0,51.58400000000004,51.00800000000003,0.5760000000000076,200,0.09289000081480481,0.09289000081480481,4.020664999188739,2103.785653000159,9,0.0,8,6.239997863769531,1445,73.97731899982318,16000.0,0.064
53.1,running,501.984375,0.0,122.91900215473386,25,67.2,1.9703714847564697,0,51.58400000000004,51.00800000000003,0.5760000000000076,200,0.09289000081480481,0.09289000081480481,4.020664999188739,2103.785653000159,9,0.0,8,6.239997863769531,1445,73.97731899982318,16000.0,0.064
54.11,running,504.640625,0.0,233.9688114755495,25,68.3,0.9743087291717529,0,53.56800000000004,53.37600000000003,0.19200000000000728,216,0.08507399979862384,0.09289000081480481,0.25424199884582777,2103.785653000159,9,0.0,9,5.759998321533203,333,73.97731899982318,16000.0,0.064
55.11,running,487.265625,0.0,180.78685735734314,25,66.1,1.974973201751709,0,53.56800000000004,53.37600000000003,0.19200000000000728,216,0.08507399979862384,0.09289000081480481,0.25424199884582777,2103.785653000159,9,0.0,9,5.759998321533203,333,73.97731899982318,16000.0,0.064
56.11,running,487.171875,0.0,286.82101680181466,25,68.3,0.9749534130096436,0,55.61600000000004,55.424000000000035,0.19200000000000728,234,0.1023519998852862,0.1023519998852862,0.25494500005152076,2103.785653000159,11,0.0,10,1.6960029602050781,386,73.97731899982318,16000.0,0.064
57.11,running,487.171875,0.0,275.8464238825354,25,67.2,1.9755675792694092,0,55.61600000000004,55.424000000000035,0.19200000000000728,234,0.1023519998852862,0.1023519998852862,0.25494500005152076,2103.785653000159,11,0.0,10,1.6960029602050781,386,73.97731899982318,16000.0,0.064
58.11,running,552.53125,0.0,344.78277926408083,25,68.85,0.9756171703338623,0,57.600000000000044,57.47200000000004,0.12800000000000722,247,0.10064900016004685,0.1023519998852862,0.26627899933373556,2103.785653000159,11,0.0,10,1.6960029602050781,386,73.97731899982318,16000.0,0.064
59.11,running,487.171875,0.0,44.97082050322098,25,65.0,1.9761650562286377,0,57.600000000000044,57.47200000000004,0.12800000000000722,247,0.10064900016004685,0.1023519998852862,0.26627899933373556,2103.785653000159,11,0.0,10,1.6960029602050781,386,73.97731899982318,16000.0,0.064
60.11,running,534.484375,0.0,181.8971437133758,25,66.1,0.9771347045898438,0,59.584000000000046,59.58400000000004,7.105427357601002e-15,265,0.09392600077262614,0.1023519998852862,0.25576100051694084,2103.785653000159,11,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
61.12,running,487.953125,0.0,249.05296787103615,25,65.55,1.9803709983825684,0,59.584000000000046,59.58400000000004,7.105427357601002e-15,265,0.09392600077262614,0.1023519998852862,0.25576100051694084,2103.785653000159,11,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
62.12,running,487.171875,0.0,244.76306934880242,25,67.2,0.9777493476867676,0,61.63200000000005,61.37600000000004,0.25600000000000733,282,0.10983399988617748,0.10983399988617748,0.25679700047476217,2103.785653000159,12,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
63.12,running,487.171875,0.0,290.73160646614633,25,66.65,1.9783377647399902,0,61.63200000000005,61.37600000000004,0.25600000000000733,282,0.10983399988617748,0.10983399988617748,0.25679700047476217,2103.785653000159,12,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
64.12,running,487.171875,0.0,293.8242123191361,25,66.65,0.9791111946105957,0,63.61600000000005,63.42400000000004,0.19200000000000728,296,0.10546299927227665,0.10983399988617748,0.283704999674228,2103.785653000159,12,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
65.12,running,487.171875,0.0,218.67343942730426,25,65.0,1.9814178943634033,0,63.61600000000005,63.42400000000004,0.19200000000000728,296,0.10546299927227665,0.10983399988617748,0.283704999674228,2103.785653000159,12,0.0,11,3.4880027770996094,404,73.97731899982318,16000.0,0.064
66.12,running,487.171875,0.0,190.60676395037154,25,65.55,0.9812028408050537,0,65.59999999999987,65.53599999999996,0.06399999999990769,311,0.11014800111297518,0.11016700045729522,0.2575939997768728,2103.785653000159,13,0.0,12,4.1920013427734375,565,73.97731899982318,16000.0,0.064
67.12,running,487.171875,0.0,194.8948518885499,25,65.0,1.981738567352295,0,65.59999999999987,65.53599999999996,0.06399999999990769,311,0.11014800111297518,0.11016700045729522,0.2575939997768728,2103.785653000159,13,0.0,12,4.1920013427734375,565,73.97731899982318,16000.0,0.064
68.12,running,487.171875,0.0,208.8927079008409,25,64.45,0.9808611869812012,0,67.58399999999965,67.58399999999983,0.0,332,0.11487099982332438,0.11603699931583833,0.25601899869798217,2103.785653000159,14,0.0,13,2.687999725341797,182,73.97731899982318,16000.0,0.064
69.12,running,487.171875,0.0,249.87321458043647,25,66.1,1.9814107418060303,0,67.58399999999965,67.58399999999983,0.0,332,0.11487099982332438,0.11603699931583833,0.25601899869798217,2103.785653000159,14,0.0,13,2.687999725341797,182,73.97731899982318,16000.0,0.064
70.13,running,551.171875,0.0,288.735326565332,25,67.2,0.9854185581207275,0,69.63199999999942,69.63199999999973,0.0,350,0.11840799925266765,0.11885200001415797,0.28094600020267535,2103.785653000159,15,0.0,14,2.1760025024414062,178,73.97731899982318,16000.0,0.064
71.13,running,534.125,0.0,155.90600754217024,25,65.0,1.9865381717681885,0,69.63199999999942,69.63199999999973,0.0,350,0.11840799925266765,0.11885200001415797,0.28094600020267535,2103.785653000159,15,0.0,14,2.1760025024414062,178,73.97731899982318,16000.0,0.064
72.13,running,487.25,0.0,300.96929153508484,25,66.1,0.9890820980072021,0,71.6159999999992,71.16799999999965,0.44799999999955276,363,0.11379699935787357,0.11885200001415797,0.25340899992443155,2103.785653000159,15,0.0,15,2.4000015258789062,450,73.97731899982318,16000.0,0.064
73.13,running,487.21875,0.0,287.81581198322834,25,66.65,1.9898388385772705,0,71.6159999999992,71.16799999999965,0.44799999999955276,363,0.11379699935787357,0.11885200001415797,0.25340899992443155,2103.785653000159,15,0.0,15,2.4000015258789062,450,73.97731899982318,16000.0,0.064
74.13,running,487.25,0.0,337.7312824165493,25,66.1,0.9899475574493408,0,73.59999999999899,73.21599999999958,0.3839999999994035,375,0.12372300079732668,0.12387099923216738,0.2623899999889545,2103.785653000159,16,0.0,15,2.4000015258789062,450,73.97731899982318,16000.0,0.064
75.14,running,487.265625,0.0,332.8309860620183,25,67.75,1.9966325759887695,0,73.59999999999899,73.21599999999958,0.3839999999994035,375,0.12372300079732668,0.12387099923216738,0.2623899999889545,2103.785653000159,16,0.0,15,2.4000015258789062,450,73.97731899982318,16000.0,0.064
76.14,running,487.171875,0.0,227.81831808078476,25,66.1,0.9935014247894287,0,75.58399999999877,75.45599999999956,0.1279999999992043,381,0.12316799984546378,0.12387099923216738,3.159994999805349,2103.785653000159,16,0.0,16,3.8720016479492188,779,73.97731899982318,16000.0,0.064
77.14,running,487.171875,0.0,236.7567577643267,25,65.55,1.9958689212799072,0,75.58399999999877,75.45599999999956,0.1279999999992043,381,0.12316799984546378,0.12387099923216738,3.159994999805349,2103.785653000159,16,0.0,16,3.8720016479492188,779,73.97731899982318,16000.0,0.064
78.15,running,487.171875,0.0,194.75919133434888,25,65.55,1.0004873275756836,0,77.63199999999854,77.50399999999945,0.12799999999909062,399,0.12870499995187856,0.12994499957130756,0.2627970006869873,2103.785653000159,17,0.0,17,1.9840011596679688,305,73.97731899982318,16000.0,0.064
79.15,running,487.171875,0.0,216.8028535771498,25,64.45,2.0010457038879395,0,77.63199999999854,77.50399999999945,0.12799999999909062,399,0.12870499995187856,0.12994499957130756,0.2627970006869873,2103.785653000159,17,0.0,17,1.9840011596679688,305,73.97731899982318,16000.0,0.064
80.15,running,534.421875,0.0,288.83386189583047,25,66.65,1.0015676021575928,0,79.61599999999832,79.55199999999934,0.06399999999898398,418,0.1402970010531135,0.1402970010531135,0.26622399855114054,2103.785653000159,19,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
81.15,running,543.234375,0.0,326.62800075720196,25,67.75,0.0020749568939208984,0,81.5999999999981,81.2159999999993,0.38399999999880663,426,0.14014900079928339,0.1402970010531135,2.078064999295748,2103.785653000159,20,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
82.15,running,487.171875,0.0,288.693717617556,25,68.3,1.0030169486999512,0,81.5999999999981,81.2159999999993,0.38399999999880663,426,0.14014900079928339,0.1402970010531135,2.078064999295748,2103.785653000159,20,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
83.15,running,519.28125,0.0,348.6897313440991,25,67.75,0.0035245418548583984,0,83.58399999999789,83.26399999999926,0.31999999999862894,434,0.1397969990648562,0.1402970010531135,3.139513000860461,2103.785653000159,20,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
84.15,running,538.921875,0.0,343.62595764677974,25,68.85,1.0046255588531494,0,83.58399999999789,83.26399999999926,0.31999999999862894,434,0.1397969990648562,0.1402970010531135,3.139513000860461,2103.785653000159,20,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
85.15,running,553.296875,0.0,354.6145481710174,25,67.75,0.0047607421875,0,85.63199999999766,85.18399999999924,0.4479999999984159,438,0.14101999840931967,0.14129700139164925,4.719611999462359,2103.785653000159,20,0.0,19,1.1840057373046875,297,73.97731899982318,16000.0,0.064
