elapsed_s,state,rss_mb,swap_mb,cpu_percent,threads,temperature_c,heartbeat_age_s,overflows,captured_s,processed_s,backlog_s,processing_calls,parse_last_ms,parse_max_ms,process_last_ms,process_max_ms,returned_lines,returned_audio_s,completed_lines,last_line_duration_s,last_decode_ms,callback_gap_max_ms,actual_rate,actual_latency_s
54.06,running,511.5625,0.0,323.77208970308544,25,64.45,0.7303814888000488,0,53.63200000000004,50.94400000000004,2.6880000000000024,460,74.08564400066098,74.08564400066098,1039.9939009985246,1438.0945949997113,6,28.192,5,5.312000274658203,849,80.74770599887415,16000.0,0.064
55.06,running,577.859375,0.0,359.77281174421427,25,65.0,1.7311108112335205,0,53.63200000000004,50.94400000000004,2.6880000000000024,460,74.08564400066098,74.08564400066098,1039.9939009985246,1438.0945949997113,6,28.192,5,5.312000274658203,849,80.74770599887415,16000.0,0.064
56.06,running,513.828125,0.0,350.72650592600684,25,65.55,0.7275412082672119,0,55.68000000000004,51.96800000000004,3.7120000000000033,461,76.7208950001077,76.7208950001077,2276.8082129987306,2276.8082129987306,6,29.216,5,5.312000274658203,849,80.74770599887415,16000.0,0.064
57.06,running,513.21875,0.0,337.554647613408,25,66.1,1.7283918857574463,0,55.68000000000004,51.96800000000004,3.7120000000000033,461,76.7208950001077,76.7208950001077,2276.8082129987306,2276.8082129987306,6,29.216,5,5.312000274658203,849,80.74770599887415,16000.0,0.064
58.06,running,515.59375,0.0,327.72420893560803,25,65.55,0.7285819053649902,0,57.664000000000044,54.20800000000004,3.456000000000003,462,84.03499599990027,84.03499599990027,2811.4023190009902,2811.4023190009902,7,31.936,6,10.04800033569336,2085,81.01748499939276,16000.0,0.064
59.07,running,515.25,0.0,336.7495970401082,25,65.55,1.7293453216552734,0,57.664000000000044,54.20800000000004,3.456000000000003,462,84.03499599990027,84.03499599990027,2811.4023190009902,2811.4023190009902,7,31.936,6,10.04800033569336,2085,81.01748499939276,16000.0,0.064
60.07,running,515.75,0.0,342.0656654225193,25,66.65,0.7313342094421387,0,59.648000000000046,58.368000000000045,1.2800000000000011,464,94.46964599919738,94.46964599919738,1006.9421669995791,2811.4023190009902,7,36.096,6,10.04800033569336,2085,92.61637999952654,16000.0,0.064
61.07,running,515.765625,0.0,349.7569853490399,25,66.1,1.7321369647979736,0,59.648000000000046,58.368000000000045,1.2800000000000011,464,94.46964599919738,94.46964599919738,1006.9421669995791,2811.4023190009902,7,36.096,6,10.04800033569336,2085,92.61637999952654,16000.0,0.064
62.07,running,517.890625,0.0,320.7682702653252,25,66.1,0.7325534820556641,0,61.69600000000005,59.392000000000046,2.304000000000002,465,97.01180299998668,97.01180299998668,839.3065099990054,2811.4023190009902,7,37.12,6,10.04800033569336,2085,92.61637999952654,16000.0,0.064
63.08,running,582.96875,0.0,331.83241590696156,25,66.65,1.738800287246704,0,61.69600000000005,59.392000000000046,2.304000000000002,465,97.01180299998668,97.01180299998668,839.3065099990054,2811.4023190009902,7,37.12,6,10.04800033569336,2085,92.61637999952654,16000.0,0.064
64.08,running,518.5,0.0,319.7653114473442,25,66.1,0.7389061450958252,0,63.68000000000005,62.20800000000005,1.4720000000000013,467,104.74429499845428,104.74429499845428,908.960749000471,2811.4023190009902,8,39.776,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
65.08,running,518.59375,0.0,352.7658435576293,25,66.1,1.7395286560058594,0,63.68000000000005,62.20800000000005,1.4720000000000013,467,104.74429499845428,104.74429499845428,908.960749000471,2811.4023190009902,8,39.776,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
66.08,running,535.59375,0.0,324.793204491462,25,66.65,0.7306118011474609,0,65.66399999999986,63.10400000000005,2.5599999999998104,468,107.06346999904781,107.06346999904781,1106.687460998728,2811.4023190009902,8,40.672,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
67.08,running,519.0625,0.0,342.56577356031744,25,66.65,1.731442928314209,0,65.66399999999986,63.10400000000005,2.5599999999998104,468,107.06346999904781,107.06346999904781,1106.687460998728,2811.4023190009902,8,40.672,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
68.08,running,520.828125,0.0,260.7945820178824,25,66.1,0.6434576511383057,0,67.77599999999963,64.25600000000004,3.519999999999584,469,110.30270400078734,110.30270400078734,1509.028929998749,2811.4023190009902,8,41.824,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
69.08,running,519.46875,0.0,124.51063770827176,25,64.45,1.6474549770355225,0,67.77599999999963,64.25600000000004,3.519999999999584,469,110.30270400078734,110.30270400078734,1509.028929998749,2811.4023190009902,8,41.824,7,7.327999114990234,1869,92.61637999952654,16000.0,0.064
70.09,running,521.9375,0.0,287.80718127621617,25,67.2,0.6130237579345703,0,69.8239999999994,69.75999999999996,0.06399999999943873,485,117.57661999945412,117.57661999945412,1.841211000282783,2811.4023190009902,10,44.96,9,1.3440017700195312,337,92.61637999952654,16000.0,0.064
71.1,running,522.046875,0.0,199.8352595714381,25,65.0,1.624222993850708,0,69.8239999999994,69.75999999999996,0.06399999999943873,485,117.57661999945412,117.57661999945412,1.841211000282783,2811.4023190009902,10,44.96,9,1.3440017700195312,337,92.61637999952654,16000.0,0.064
72.1,running,522.046875,0.0,190.81798864301766,25,63.35,0.6242203712463379,0,71.80799999999918,71.80799999999988,0.0,499,123.08582500008924,123.08582500008924,0.25811199884628877,2811.4023190009902,11,46.976,11,1.1840057373046875,216,92.61637999952654,16000.0,0.064
73.1,running,522.390625,0.0,310.7890680812814,25,65.0,1.6247913837432861,0,71.80799999999918,71.80799999999988,0.0,499,123.08582500008924,123.08582500008924,0.25811199884628877,2811.4023190009902,11,46.976,11,1.1840057373046875,216,92.61637999952654,16000.0,0.064
74.1,running,523.546875,0.0,292.838474104646,25,65.0,0.6221096515655518,0,73.79199999999896,72.89599999999984,0.8959999999991197,505,128.1960109990905,128.1960109990905,788.8050629990175,2811.4023190009902,12,48.864,11,1.1840057373046875,216,92.61637999952654,16000.0,0.064
